"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"St. Vincent and the Grenadines","VCT","Population ages 10-14, female (% of female population)","SP.POP.1014.FE.5Y","12.0330117400907","12.2784926049728","12.5022587640043","12.7109186679761","12.9007330212841","13.0793109478839","13.1974527811471","13.2996777658432","13.3780903665814","13.4497484250137","13.5247877580966","13.6306049969885","13.7419023136247","13.8467490683989","13.9273181946517","13.9533954194812","13.9093720266413","13.8355005606594","13.7289757965267","13.6176653213288","13.5181507971699","13.414821059085","13.3255884817552","13.2381349191319","13.128038897893","12.9690079543749","12.6602384422768","12.4348279457769","12.3001504094479","12.2642208634427","12.3168023686158","12.208291726765","12.0875869211422","11.9576680419619","11.8177609037874","11.6662030598053","11.4512892918184","11.2360596525851","11.026530840703","10.8366652965136","10.6885785331015","10.5184465293612","10.3845938532161","10.268447623838","10.1587065324576","10.0400037212764","9.93030709600477","9.82890017931859","9.71772154269766","9.57738542449286","9.37958538695963","9.03496556136851","8.75582969760794","8.53656247066554","8.38967021854342","8.30936998170072","8.11414115108449","7.94294711493933","7.78492799586967","7.64826776277158","7.54992782619818",
"St. Vincent and the Grenadines","VCT","Survival to age 65, male (% of cohort)","SP.DYN.TO65.MA.ZS","57.7364548","58.6214434","59.506432","59.7794786","60.0525252","60.3255718","60.5986184","60.871665","61.0894792","61.3072934","61.5251076","61.7429218","61.960736","62.4477178","62.9346996","63.4216814","63.9086632","64.395645","65.0312134","65.6667818","66.3023502","66.9379186","67.573487","67.8211872","68.0688874","68.3165876","68.5642878","68.811988","68.9706276","69.1292672","69.2879068","69.4465464","69.605186","69.3959406","69.1866952","68.9774498","68.7682044","68.558959","68.5353258","68.5116926","68.4880594","68.4644262","68.440793","68.6725928","68.9043926","69.1361924","69.3679922","69.599792","69.5194294","69.4390668","69.3587042","69.2783416","69.197979","69.2624678","69.3269566","69.3914454","69.4559342","69.520423","69.7063152","69.8922074","",
"St. Vincent and the Grenadines","VCT","Vitamin A supplementation coverage rate (% of children ages 6-59 months)","SN.ITK.VITA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","23","","","","","","","","","","","18.4500007629395","","","","","","","","","","22.6000003814697","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.3199996948242","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Labor force participation rate, male (% of male population ages 15+) (national estimate)","SL.TLF.CACT.MA.NE.ZS","40.4599990844727","","","","","","","","","","37.2700004577637","","","","","","","","","","","","","","","","","","","","","80.7699966430664","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.1340026855469","73.0940017700195","72.2620010375977","71.734001159668","72.0260009765625","70.963996887207","70.8570022583008","70.3929977416992","69.8430023193359","69.5390014648438","69.4440002441406","69.3300018310547","68.5490036010742","67.5670013427734","67.0849990844727","66.786003112793","65.9990005493164","65.8420028686523","65.9449996948242","66.6809997558594","67.6620025634766","67.9459991455078","68","68.0759963989258","68.3489990234375","68.6559982299805","68.4499969482422","68.4339981079102","68.2460021972656","68.4369964599609","64.8509979248047",
"St. Vincent and the Grenadines","VCT","Average working hours of children, study and work, female, ages 7-14 (hours per week)","SL.TLF.0714.SW.FE.TM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.7399997711182","27.1100006103516","27.5799999237061","27.5200004577637","27.8899993896484","27.7900009155273","28.3799991607666","28.9500007629395","28.7600002288818","28.4300003051758","28.5599994659424","28.6900005340576","29.2399997711182","29.5200004577637","29.4899997711182","30.25","30.7000007629395","30.3999996185303","30.0799999237061","29.6499996185303","29.4500007629395","29.3400001525879","29.4799995422363","29.2299995422363","29.3600006103516","29.3999996185303","29.5200004577637","29.5799999237061","29.5499992370605","",
"St. Vincent and the Grenadines","VCT","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","","","49.5999984741211","","","","","","","52.5","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","SL.EMP.1524.SP.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2709999084473","23.8880004882813","24.3239994049072","24.17799949646","24.992000579834","24.9740009307861","25.318000793457","25.6590003967285","25.867000579834","26.0100002288818","26.1919994354248","26.5909996032715","26.992000579834","27.1030006408691","27.2080001831055","27.3439998626709","27.0739994049072","26.8150005340576","26.0330009460449","25.2530002593994","24.8799991607666","24.548999786377","24.1660003662109","23.681999206543","23.2070007324219","23.1650009155273","22.9950008392334","22.9039993286133","22.5879993438721","19.9559993743896",
"St. Vincent and the Grenadines","VCT","Poverty headcount ratio at national poverty lines (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Proportion of people living below 50 percent of median income (%)","SI.DST.50MD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
